HWP_ANGLE MOVE_START MOVE_END VAMP_PREFIX
00.00 20190226T152522 20190226T152528 35Com
22.50 20190226T152609 20190226T152615 35Com
45.00 20190226T152654 20190226T152700 35Com
67.50 20190226T152741 20190226T152747 35Com
00.00 20190226T152844 20190226T152850 35Com
00.00 20190226T153004 20190226T153010 35Com
45.00 20190226T153744 20190226T153750 35Com
67.50 20190226T153829 20190226T153835 35Com
00.00 20190226T153915 20190226T153921 35Com
22.50 20190226T154000 20190226T154006 35Com
45.00 20190226T154045 20190226T154051 35Com
67.50 20190226T154131 20190226T154137 35Com
00.00 20190226T154216 20190226T154222 35Com
22.50 20190226T154303 20190226T154309 35Com
45.00 20190226T154348 20190226T154354 35Com
67.50 20190226T154434 20190226T154440 35Com
22.50 20190226T153051 20190226T153057 35Com
00.00 20190226T154519 20190226T154525 35Com
45.00 20190226T153137 20190226T153143 35Com
67.50 20190226T153221 20190226T153227 35Com
00.00 20190226T153306 20190226T153312 35Com
22.50 20190226T153352 20190226T153358 35Com
45.00 20190226T153437 20190226T153443 35Com
67.50 20190226T153523 20190226T153529 35Com
00.00 20190226T153608 20190226T153614 35Com
22.50 20190226T153654 20190226T153700 35Com
00.00 20190226T060321 20190226T060327 ABAUr
45.00 20190226T060834 20190226T060840 ABAUr
67.50 20190226T060905 20190226T060911 ABAUr
00.00 20190226T060937 20190226T060943 ABAUr
22.50 20190226T061007 20190226T061013 ABAUr
45.00 20190226T061039 20190226T061045 ABAUr
67.50 20190226T061110 20190226T061116 ABAUr
00.00 20190226T061142 20190226T061148 ABAUr
22.50 20190226T061214 20190226T061220 ABAUr
45.00 20190226T061246 20190226T061252 ABAUr
67.50 20190226T061317 20190226T061323 ABAUr
22.50 20190226T060354 20190226T060400 ABAUr
00.00 20190226T061349 20190226T061355 ABAUr
22.50 20190226T061419 20190226T061425 ABAUr
45.00 20190226T061451 20190226T061457 ABAUr
67.50 20190226T061521 20190226T061527 ABAUr
00.00 20190226T061553 20190226T061559 ABAUr
22.50 20190226T061625 20190226T061631 ABAUr
45.00 20190226T061656 20190226T061702 ABAUr
67.50 20190226T061727 20190226T061733 ABAUr
00.00 20190226T061758 20190226T061804 ABAUr
22.50 20190226T061830 20190226T061836 ABAUr
45.00 20190226T060426 20190226T060432 ABAUr
45.00 20190226T061901 20190226T061907 ABAUr
67.50 20190226T061933 20190226T061939 ABAUr
00.00 20190226T062005 20190226T062011 ABAUr
67.50 20190226T060456 20190226T060502 ABAUr
00.00 20190226T060528 20190226T060534 ABAUr
